REGION,ZONE,Target,Month,Type,Business Type
NORTH,RAJASTHAN,3.2,Jul,Region,RETAIL
NORTH,UTTAR PRADESH,2.65,Jul,Region,RETAIL
EAST + CENTRAL,EAST INDIA,13.3,Jul,Region,RETAIL
EAST + CENTRAL,CENTRAL INDIA,3.1,Jul,Region,RETAIL
APTS,AP & TS,10.6,Jul,Region,RETAIL
KTNK,TAMIL NADU,6.1,Jul,Region,RETAIL
KTNK,KERALA,1.7,Jul,Region,RETAIL
KTNK,KARNATAKA,19.6,Jul,Region,RETAIL
GUJARAT,GUJARAT,4,Jul,Region,RETAIL
WEST,WEST ONE,7.1,Jul,Region,RETAIL
WEST,WEST TWO,4.6,Jul,Region,RETAIL
NRI,NRI,3.9,Jul,Region,RETAIL
CALL CENTER,CALL CENTER,18.28,Jul,Region,CALL CENTER
NORTH,DELHI NCR,7.2,Aug,Region,RETAIL
NORTH,PUNJAB,2.85,Aug,Region,RETAIL
NORTH,RAJASTHAN,2,Aug,Region,RETAIL
NORTH,UTTAR PRADESH,3.05,Aug,Region,RETAIL
EAST + CENTRAL,EAST INDIA,7.2,Aug,Region,RETAIL
EAST + CENTRAL,CENTRAL INDIA,2.2,Aug,Region,RETAIL
APTS,AP & TS,7.7,Aug,Region,RETAIL
KTNK,TAMIL NADU,5.7,Aug,Region,RETAIL
KTNK,KERALA,1.6,Aug,Region,RETAIL
KTNK,KARNATAKA,13.4,Aug,Region,RETAIL
GUJARAT,GUJARAT,4.3,Aug,Region,RETAIL
WEST,WEST ONE,6.8,Aug,Region,RETAIL
WEST,WEST TWO,4.8,Aug,Region,RETAIL
NRI,NRI,1.6,Aug,Region,RETAIL
CALL CENTER,CALL CENTER,13.82,Aug,Region,CALL CENTER
NORTH,DELHI NCR,11.3,Sep,Region,RETAIL
NORTH,PUNJAB,4,Sep,Region,RETAIL
NORTH,RAJASTHAN,3.2,Sep,Region,RETAIL
NORTH,UTTAR PRADESH,3.2,Sep,Region,RETAIL
EAST + CENTRAL,EAST INDIA,14.6,Sep,Region,RETAIL
EAST + CENTRAL,CENTRAL INDIA,2.8,Sep,Region,RETAIL
APTS,AP & TS,11.1,Sep,Region,RETAIL
KTNK,TAMIL NADU,10.1,Sep,Region,RETAIL
KTNK,KERALA,2.7,Sep,Region,RETAIL
KTNK,KARNATAKA,25.3,Sep,Region,RETAIL
GUJARAT,GUJARAT,6.2,Sep,Region,RETAIL
WEST,WEST ONE,8.1,Sep,Region,RETAIL
WEST,WEST TWO,5.4,Sep,Region,RETAIL
NRI,NRI,2.3,Sep,Region,RETAIL
CALL CENTER,CALL CENTER,23.1,Sep,Region,CALL CENTER
NORTH,DELHI NCR,5.1,Oct,Region,RETAIL
NORTH,PUNJAB,1.4,Oct,Region,RETAIL
NORTH,RAJASTHAN,1.5,Oct,Region,RETAIL
NORTH,UTTAR PRADESH,1.4,Oct,Region,RETAIL
EAST + CENTRAL,EAST INDIA,19.1,Oct,Region,RETAIL
EAST + CENTRAL,CENTRAL INDIA,1.3,Oct,Region,RETAIL
APTS,AP & TS,8,Oct,Region,RETAIL
KTNK,TAMIL NADU,4.6,Oct,Region,RETAIL
KTNK,KERALA,0.9,Oct,Region,RETAIL
KTNK,KARNATAKA,18.4,Oct,Region,RETAIL
GUJARAT,GUJARAT,4.1,Oct,Region,RETAIL
WEST,WEST ONE,4.4,Oct,Region,RETAIL
WEST,WEST TWO,3.9,Oct,Region,RETAIL
NRI,NRI,0.5,Oct,Region,RETAIL
CALL CENTER,CALL CENTER,16.53,Oct,Region,CALL CENTER
NORTH,DELHI NCR,6.5,Nov,Region,RETAIL
NORTH,PUNJAB,1.8,Nov,Region,RETAIL
NORTH,RAJASTHAN,2.4,Nov,Region,RETAIL
NORTH,UTTAR PRADESH,1.6,Nov,Region,RETAIL
